job_id,title,company,url,salary_raw,min_salary_mil,max_salary_mil,skills,benefits,posted_date,processed_at
1989132,Cán Bộ Thư Viện,TỔ CHỨC GIÁO DỤC FPT,https://www.topcv.vn/brand/fptedu1/tuyen-dung/can-bo-thu-vien-j1989132.html,Thoả thuận,,,"['Văn thư', 'Giáo dục / Đào tạo', 'In ấn / Xuất bả...']",[],2025-12-18,2025-12-23 13:11:26
1988394,Nhân Viên Kỹ Thuật Máy Đo CMM/ Chất Lượng - 1 Năm Kinh Nghiệm - Làm Việc Tại Ninh Bình (Hà Nam Cũ) - Thu Nhập 12-15 Triệu,CÔNG TY TNHH IPN VINA,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-may-do-cmm-chat-luong-1-nam-kinh-nghiem-lam-viec-tai-ninh-binh-ha-nam-cu-thu-nhap-12-15-trieu/1988394.html,12 - 15 triệu,12.0,15.0,"['Quản lý chất lượng khác', 'Sản xuất', '1 năm ki...']",[],2025-12-19,2025-12-23 13:11:26
1983306,Kế Toán Trưởng Kiêm Nội Bộ,Công ty Cổ phần quốc tế BHL Group,https://www.topcv.vn/viec-lam/ke-toan-truong-kiem-noi-bo/1983306.html,Thoả thuận,,,"['Kế toán nội bộ', '2 năm kinh nghiệm', 'Cao Đẳng ...']",[],2025-12-16,2025-12-23 13:11:26
1988965,Nhân Viên Phát Triển Kinh Doanh/ Sale B2B Du Lịch [Thanh Trì - Hà Nội],AUGROUP VIETNAM,https://www.topcv.vn/viec-lam/nhan-vien-phat-trien-kinh-doanh-sale-b2b-du-lich-thanh-tri-ha-noi/1988965.html,12 - 25 triệu,12.0,25.0,"['B2B', 'N...']","['Sales Tour/Kinh doanh du lịch', 'Du lịch']",2025-12-18,2025-12-23 13:11:26
1991186,Nhân Viên Chứng Từ Xuất Nhập Khẩu Có Tiếng Trung,CÔNG TY TNHH MTV NGUỒN CAO SU VIỆT,https://www.topcv.vn/viec-lam/nhan-vien-chung-tu-xuat-nhap-khau-co-tieng-trung/1991186.html,10 - 20 triệu,10.0,20.0,"['Chứng từ xuất nhập khẩu', 'Sản xuất', '1 năm ki...']",[],2025-12-20,2025-12-23 13:11:26
1983620,Kế Toán Thanh Toán,CÔNG TY CỔ PHẦN THUỐC THÚ Y - THỦY SẢN THỊNH PHÚ,https://www.topcv.vn/viec-lam/ke-toan-thanh-toan/1983620.html,Thoả thuận,,,"['Kế toán nội bộ', '1 năm kinh nghiệm', 'Cao Đẳng ...']",[],2025-12-16,2025-12-23 13:11:26
1973955,Sales Executive/Nhân Viên Kinh Doanh/Bán Hàng – Non KPI/Không Áp KPI - Lương Cứng 10 -14 Triệu,CÔNG TY TNHH JW CORPORATION,https://www.topcv.vn/viec-lam/sales-executive-nhan-vien-kinh-doanh-ban-hang-non-kpi-khong-ap-kpi-luong-cung-10-14-trieu/1973955.html,Thoả thuận,,,"['Kinh doanh hoá chất', 'Direct Sales', 'B2B', 'Công n...']",[],2025-12-22,2025-12-23 13:11:26
1983879,"Nhân Viên Tư Vấn - Thu Nhập Từ 8-15 Triệu (Gò Vấp, Tân Bình)",Công Ty TNHH Đào Tạo Lái Xe Minh Phát,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-thu-nhap-tu-8-15-trieu-go-vap-tan-binh/1983879.html,Từ 10 triệu,10.0,,"['Sales Giáo dục/Khoá học khác', 'B2B', 'B2C', 'Giáo d...']",[],2025-12-16,2025-12-23 13:11:26
1982204,Nhân Viên Tư Vấn Bán Hàng - Từ 6 Tháng Kinh Nghiệm - Tại Khu Vực Nha Trang,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THUẬN NHỰT,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-ban-hang-tu-6-thang-kinh-nghiem-tai-khu-vuc-nha-trang/1982204.html,Thoả thuận,,,"['Bán hàng thời trang', 'Direct Sales', 'B2B', 'B2C', 'B2G']",[],2025-12-16,2025-12-23 13:11:26
1979376,Cán Bộ Qs (Kinh Tế Xây Dựng) Tại Hà Nội ( Thu Nhập 14-17 Triệu),CÔNG TY  CỔ PHẦN XÂY DỰNG T&Đ INVEST,https://www.topcv.vn/viec-lam/can-bo-qs-kinh-te-xay-dung-tai-ha-noi-thu-nhap-14-17-trieu/1979376.html,14 - 17 triệu,14.0,17.0,"['Quản lý dự án thi công xây dựng', 'Tuổi 25 -...']",[],2025-12-16,2025-12-23 13:11:26
1984322,"Nhân Viên Thủ Kho (Biết Lái Xe Nâng) - Đi Làm Ngay - Ưu Tiên Sống Ở Khu Vực Quận 7, Nhà Bè",CÔNG TY CP HOÀNG NAM,https://www.topcv.vn/viec-lam/nhan-vien-thu-kho-biet-lai-xe-nang-di-lam-ngay-uu-tien-song-o-khu-vuc-quan-7-nha-be/1984322.html,12 - 15 triệu,12.0,15.0,"['Thủ kho/Quản lý kho', 'Tuổi 22 - 35', '1 năm kin...']",[],2025-12-16,2025-12-23 13:11:26
